,frap_region
980,[392 446]
981,[392 452]
982,[395 461]
983,[402 455]
984,[401 458]
985,[400 461]
986,[400 464]
987,[399 458]
988,[400 468]
989,[402 469]
990,[401 466]
991,[398 461]
992,[399 463]
993,[398 463]
994,[399 461]
995,[400 460]
996,[396 463]
997,[395 460]
998,[394 457]
999,[392 446]
1000,[392 453]
1001,[395 454]
1002,[393 456]
1003,[393 460]
1004,[392 462]
1005,[394 462]
1006,[394 468]
1007,[394 459]
1008,[395 454]
1009,[393 466]
1010,[389 464]
1011,[394 454]
1012,[390 456]
1013,[393 462]
1014,[387 449]
1015,[385 455]
1016,[385 459]
1017,[385 446]
1018,[378 455]
1019,[381 463]
1020,[385 461]
1021,[388 468]
1022,[392 467]
1023,[389 465]
1024,[392 463]
1025,[386 465]
1026,[391 456]
1027,[388 455]
1028,[381 456]
1029,[384 455]
1030,[387 461]
1031,[389 464]
1032,[387 457]
1033,[388 459]
1034,[389 454]
1035,[387 459]
1036,[386 464]
1037,[387 462]
1038,[388 453]
1039,[380 454]
1040,[381 458]
1041,[384 462]
1042,[381 464]
1043,[383 466]
1044,[386 468]
1045,[384 465]
1046,[384 470]
1047,[383 473]
1048,[383 476]
1049,[383 474]
1050,[384 457]
1051,[384 450]
1052,[380 466]
1053,[381 466]
1054,[382 468]
1055,[386 475]
1056,[384 468]
1057,[378 469]
1058,[376 476]
1059,[374 484]
1060,[375 480]
1061,[383 483]
1062,[384 476]
1063,[382 477]
1064,[380 477]
1065,[376 473]
1066,[377 482]
1067,[375 479]
1068,[378 474]
1069,[377 473]
1070,[375 472]
1071,[373 472]
1072,[370 472]
1073,[371 473]
1074,[372 472]
1075,[375 476]
1076,[377 480]
1077,[375 483]
1078,[379 466]
1079,[376 477]
1080,[371 472]
1081,[375 477]
1082,[372 468]
1083,[368 470]
1084,[369 464]
1085,[368 467]
1086,[369 473]
1087,[368 475]
1088,[368 476]
1089,[373 480]
1090,[369 477]
1091,[374 474]
1092,[374 483]
1093,[373 476]
1094,[371 474]
1095,[369 481]
1096,[364 483]
1097,[369 476]
1098,[370 479]
1099,[369 476]
1100,[365 479]
1101,[365 483]
1102,[366 476]
1103,[365 467]
1104,[366 474]
1105,[365 466]
1106,[360 476]
1107,[360 477]
1108,[359 471]
1109,[362 473]
1110,[358 472]
1111,[356 475]
1112,[356 477]
1113,[355 467]
1114,[353 472]
1115,[354 474]
1116,[354 478]
1117,[359 481]
1118,[364 472]
1119,[361 479]
1120,[362 478]
1121,[360 485]
1122,[356 478]
1123,[358 480]
1124,[356 482]
1125,[356 486]
1126,[357 481]
1127,[352 475]
1128,[352 477]
1129,[357 482]
1130,[355 483]
1131,[357 483]
1132,[349 487]
1133,[349 484]
1134,[347 487]
1135,[350 489]
1136,[350 491]
1137,[352 492]
1138,[355 492]
1139,[354 492]
1140,[351 495]
1141,[351 499]
1142,[352 510]
1143,[352 508]
1144,[354 494]
1145,[353 497]
1146,[354 494]
1147,[353 493]
1148,[355 487]
1149,[358 487]
1150,[354 495]
1151,[353 497]
1152,[351 493]
1153,[354 491]
1154,[353 499]
1155,[353 505]
1156,[354 504]
1157,[354 502]
1158,[358 496]
1159,[353 496]
1160,[352 497]
1161,[352 499]
1162,[353 493]
1163,[352 484]
1164,[349 487]
1165,[352 493]
1166,[358 491]
1167,[355 492]
1168,[362 490]
1169,[360 494]
1170,[365 502]
1171,[365 503]
1172,[363 503]
1173,[358 505]
1174,[358 504]
1175,[355 496]
1176,[351 498]
1177,[352 496]
1178,[352 494]
1179,[352 504]
1180,[350 502]
1181,[362 492]
1182,[355 492]
1183,[353 497]
1184,[353 504]
1185,[349 498]
1186,[349 503]
1187,[351 510]
1188,[350 506]
1189,[345 506]
1190,[346 500]
1191,[346 507]
1192,[354 502]
1193,[351 498]
1194,[350 507]
1195,[355 506]
1196,[363 513]
1197,[360 513]
1198,[364 511]
1199,[363 508]
1200,[362 509]
1201,[359 524]
1202,[361 511]
1203,[357 509]
1204,[355 507]
1205,[357 505]
1206,[353 502]
1207,[354 510]
1208,[354 511]
1209,[354 515]
1210,[349 515]
1211,[347 517]
1212,[346 514]
1213,[344 514]
1214,[351 512]
1215,[348 515]
1216,[344 514]
1217,[345 517]
1218,[348 521]
1219,[343 521]
1220,[345 522]
1221,[348 528]
1222,[346 529]
1223,[345 527]
1224,[344 527]
1225,[345 524]
1226,[347 522]
1227,[342 522]
1228,[342 516]
1229,[347 523]
1230,[348 516]
1231,[346 523]
1232,[343 523]
1233,[348 524]
1234,[345 523]
1235,[343 523]
1236,[349 519]
1237,[349 522]
1238,[347 521]
1239,[342 521]
1240,[343 523]
1241,[344 527]
1242,[343 525]
1243,[343 525]
1244,[345 522]
1245,[349 527]
1246,[349 524]
1247,[344 519]
1248,[348 525]
1249,[343 517]
1250,[341 519]
1251,[343 520]
1252,[343 525]
1253,[343 515]
1254,[345 520]
1255,[343 515]
1256,[346 519]
1257,[342 518]
1258,[343 519]
1259,[344 513]
1260,[343 517]
1261,[339 511]
1262,[340 511]
1263,[340 517]
1264,[342 515]
1265,[340 516]
1266,[341 514]
1267,[339 522]
1268,[341 518]
1269,[342 514]
1270,[342 520]
1271,[342 518]
1272,[342 528]
1273,[335 529]
1274,[337 523]
1275,[330 525]
1276,[329 521]
1277,[332 517]
1278,[332 517]
1279,[337 518]
1280,[333 521]
1281,[335 515]
1282,[336 522]
1283,[330 524]
1284,[329 521]
1285,[330 530]
1286,[332 523]
1287,[330 524]
1288,[327 529]
1289,[329 528]
1290,[325 522]
1291,[328 521]
1292,[325 522]
1293,[330 522]
1294,[327 526]
1295,[329 524]
1296,[328 517]
1297,[327 520]
1298,[325 523]
1299,[326 528]
1300,[326 530]
1301,[330 535]
1302,[330 530]
1303,[333 534]
1304,[333 529]
1305,[326 537]
1306,[325 534]
1307,[329 536]
1308,[327 542]
1309,[327 532]
1310,[329 532]
1311,[331 539]
1312,[330 536]
1313,[323 535]
1314,[327 536]
1315,[326 534]
1316,[323 532]
1317,[321 535]
1318,[322 537]
1319,[323 540]
1320,[324 538]
1321,[326 527]
1322,[328 523]
1323,[328 522]
1324,[331 521]
1325,[327 524]
1326,[322 525]
1327,[322 524]
1328,[323 523]
